# see xmirror(1) for more details about this file
# region	url	location	tier
####### Tier 1
EU	https://repo-fi.voidlinux.org/	Helsinki, Finland	1
EU	https://repo-de.voidlinux.org/	Frankfurt, Germany	1
NA	https://mirrors.servercentral.com/voidlinux/	Chicago, USA	1
#NA	https://repo-us.voidlinux.org/	Kansas City, USA	1
World	https://repo-fastly.voidlinux.org/	Fastly Global CDN	1
####### Tier 2
AS	https://mirror.ps.kz/voidlinux/	Almaty, Kazakhstan	2
AS	https://mirror.nju.edu.cn/voidlinux/	China	2
AS	https://mirrors.bfsu.edu.cn/voidlinux/	Beijing, China	2
AS	https://mirrors.cnnic.cn/voidlinux/	Beijing, China	2
AS	https://mirrors.tuna.tsinghua.edu.cn/voidlinux/	Beijing, China	2
AS	https://mirror.sjtu.edu.cn/voidlinux/	Shanghai, China	2
AS	https://void.webconverger.org/	Singapore	2
EU	http://ftp.dk.xemacs.org/voidlinux/	Denmark	2
EU	https://mirrors.dotsrc.org/voidlinux/	Denmark	2
EU	https://ftp.cc.uoc.gr/mirrors/linux/voidlinux/	Greece	2
EU	https://quantum-mirror.hu/mirrors/pub/voidlinux/	Hungary	2
EU	https://voidlinux.mirror.garr.it/	Italy	2
EU	https://void.cijber.net/	Amsterdam, Netherlands	2
EU	https://void.sakamoto.pl/	Warsaw, Poland	2
EU	http://ftp.debian.ru/mirrors/voidlinux/	Russia	2
EU	https://mirror.yandex.ru/mirrors/voidlinux/	Russia	2
EU	https://ftp.lysator.liu.se/pub/voidlinux/	Sweden	2
EU	https://mirror.accum.se/mirror/voidlinux/	Sweden	2
EU	https://mirror.puzzle.ch/voidlinux/	Bern, Switzerland	2
NA	https://mirror.vofr.net/voidlinux/	California, USA	2
NA	https://mirror2.sandyriver.net/pub/voidlinux/	Kentucky, USA	2
NA	https://mirror.clarkson.edu/voidlinux/	New York, USA	2
OC	https://mirror.aarnet.edu.au/pub/voidlinux/	Canberra, Australia	2
OC	https://ftp.swin.edu.au/voidlinux/	Melbourne, Australia	2
SA	https://voidlinux.com.br/repo/	Ouro Preto, Brazil	2
SA	http://void.chililinux.com/voidlinux/	Pimenta Bueno, Brazil	2
